node,total_fee,degree,capacity
0278630413d5af0d3981e1788d9ff27e47bc5640ac2ecb6d123309a0992a67bb08,0.501,25,28879550.5
035ee4232e84202c4c7a70f479beba74a424b7ee6235123400071844fa2efedd7e,0.501,55,18405637.0
0207d58b94bd3946bf7eb8c27cea6cc29d147485efb33f284894e59062592f398a,0.5,23,5469615.0
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,0.46950000000000003,1627,406836193.5
03d4d48ecccfe3f6a062f9ea3d948109ac008f4fdf8579607f20259eea1613c807,0.436,7,1837960.0
03434a39cd9a537c852fc8fb72454086d726f9111e9f730cef4985c39c11fae944,0.30300000000000005,139,61503464.5
021f05bd7bec2dacaafa9eea30e3c2dd64a1eee699c3aad6aeca8a5c6dd6ed3198,0.251,22,7172130.0
027cf99e95e346897a6f88212d5240fa790e3b4c97581bcffa354de10128998ce7,0.2,83,31497515.0
03935a378993d0b55056801b11957aaecb9f85f34b64245f864c22a2d25001de74,0.15300000000000002,41,45925351.5
02c58cabc78496cb847adbe4af654b2b0b94c54aa829840edde7777897a57e9db3,0.1,53,13931135.0
036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8,0.09999999999999999,99,36169635.5
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,0.063,274,124102359.0
02f8220c901057c536fc8b4fdffd4f88b8ddd9cf811af03bbf85dd2c1eb25a7262,0.06,36,9025000.0
02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,0.042,127,146095103.5
033aa93d8abed5a070efd69e1119351eed005b3af4c0de43db350adc2278c914d5,0.042,45,21361073.5
0276e09a267592e7451a939c932cf685f0754de382a3ca85d2fb3a864d4c365ad5,0.039999999999999994,86,85213443.0
0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,0.027,135,41499789.0
032b12c7415455a1000c43a56ac21dd72472e62ca7dc456f4a66bb8463bf8bfed1,0.026000000000000002,27,10671963.5
03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601,0.02,141,103324223.0
031d2bbc75802689312220a017c6b51fa246efc59c7aa9355f6f7395038ffb4d6a,0.018000000000000002,59,23795208.5
03f18da23535adee245903c81750745197e3079d3b88b3898981c90a5f2411008c,0.016,57,34906475.0
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,0.014,198,121613676.5
037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,0.014,114,65353679.0
03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b,0.012,125,30715765.5
02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,0.011,67,51188061.5
03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258,0.01,249,202465901.5
020d41c5a32f06d7addc7378f2d4a6596358d8716a3eb5d5bbdd894a82a1fdd00c,0.01,162,52261807.0
03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f,0.009000000000000001,110,91322278.5
03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45,0.008,46,21289942.0
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,0.007,70,71583234.0
02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff,0.006,43,43953916.0
03c4bb19c3a388d790968328b0f0d187a1a28597d3ad082200a47baadfdb6aee8d,0.005,126,50913563.0
02e588464f41b295e8c20fd1e1362437f40375cae6a8155cf20a9a9e2ec9b3b2e4,0.005,23,3962559.5
02731b798b39a09f9f14e90ee601afb6ebb796d6e5797de14582a978770b33700f,0.004,98,31972246.0
030b04c5d37b8cb3acd324edefed38e170d355c8f0953718307b894321d576615f,0.004,16,17231125.0
0360e94b6a5ba69e9349ea1077890b6384a4b9e6368e100316d85e22a534f552a8,0.004,13,3231174.5
03aedc5302d3fa4c33eb84f98287a78268d0cdfa70624f7708664264880f6b482c,0.003,13,831533.5
02f302189b8c0028aa919e5441a5d7e80c82ebdff421219e34408acea58274a823,0.003,48,63791503.5
029a06f84c9bfddcf4dca173a4d1a540e6ce7f75cc7d1dde9fd5a70d80c504da07,0.003,52,57626941.5
0325d3075b0ee0a3630d623d0fcc6ca5cdc0bdcdaf6e6e813e1be02b4e5e246ce2,0.003,15,1351789.0
023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd,0.002,109,119282276.0
02c88a0df5e9ea7df582647f79b70b8e441047de308fd6b24408b8bd775f2234bd,0.002,15,11978908.0
03c0a04ca63b5ee4365393b69cb364a46a8b8d202a491802ef1a7981adac3e0f16,0.002,6,10750000.0
03952f8756c036669440e06c782c7f21732886ccf04052e0e6e792f8f5a490f6aa,0.002,8,6200000.0
031567fdf33cb9b4ab081019199295ffce38218751842a403e9fcf48778e4c3022,0.001,29,51895838.5
029aee02904d4e419770b93c1b07aae2814a79032e23cafb4024cbea6fb71be106,0.001,45,48306833.0
032260c3b64b471b7eb0630b4af5d07ca94ff4e759573cbbe1bfb25845c375ed6e,0.001,11,7999360.5
024bda1ec91b277d311aa60d04b1fb856efcc7897c876746b680c1f985fe973f73,0.001,49,17558040.5
0269b91661812bae52280a68eec2b89d38bf26b33966441ad70aa365e120a125ff,0.001,77,27102289.5
03842a085b8b89da9db708b83aae8e9baff7a0a6f34368a439aa8d2ca3e408a662,0.0,28,4975104.0
02fcc4b0a87749b022f05568d5ef893b7893bcbaa99276bbbb55d9e9abc1bdced0,0.0,44,17590590.0
