node,total_income,total_traffic,failed_traffic_ratio,opt_delta,income_diff
029a8741675c4c9078b577ddc4348d602d2fb45a12e6087b617925997a84f4c02e,11.66,11,0.36363636363636365,5.94,30.34
02b414e4e29a685b8699152be47a0420fa3c8ab59629d2da2d6c0a95c582636350,11.66,11,0.36363636363636365,25.06,118.94
02309f3556d51e9d855594762dcf68cb283fbfd7e48618b6cecb8cd90e2e34d8ad,11.66,11,0.0,23.94,63.34000000000001
024a2e265cd66066b78a788ae615acdc84b5b0dec9efac36d7ac87513015eaf6ed,11.66,11,0.18181818181818182,0.0,0.0
0320e5b9f19a1c4dc22ebb751d757eaa5843262cd55a0f1b0d13cb5d445c5c78ae,10.600000000000001,10,0.0,57.88,48.34
0358327cb80ab2a8db36a5924c62966c7b4a753045600df594aa3863ecb618cc5d,10.600000000000001,10,0.3,1.59,5.3
0223390bea8aa598442d056ace37c07e7364da1341b3681c371f6619b2879c0af2,10.600000000000001,10,0.3,59.88,294.1
039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400,10.600000000000001,10,0.1,599.94,2393.4000000000005
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,10.040000000000001,20,0.0,59.84,169.96
02c1ac5cee87e4f40f24ea4560ab0e63f398ef5fb630cf50a0e2f638ce51e3169e,9.600000000000001,6,0.6666666666666666,5.63,26.55
03e81a5b8af31bc00a1c1c08419d3272b4982db02feafd739904df2edfcbdf6f7e,9.600000000000001,6,0.3333333333333333,29.9,116.4
032d4baebebfdeab7a2ecef2fbe109cbef10de95f05aa54090fdb687789547dbf5,9.540000000000001,9,0.0,29.44,81.96000000000001
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,9.540000000000001,9,0.0,36.44,65.46
023f5e3582716bed96f6f26cfcd8037e07474d7b4743afdc8b07e692df63464d7e,9.540000000000001,9,1.0,0.0,0.0
03deedbfee762a68a44d2587560507e513ac185908728aaf053ad4a3c096d8acb0,9.540000000000001,9,0.8888888888888888,11.88,106.92
022c699df736064b51a33017abfc4d577d133f7124ac117d3d9f9633b6297a3b6a,9.540000000000001,9,0.1111111111111111,58.94,230.46
03957c801187ade4aaeee6ca1e3f23eeb7413a84558ff1f3543cb41f5f86da609a,9.46,11,0.0,59.14,170.54000000000002
0212864d59d5a902634c4a3186615446e9d56c17b14600f3b74fbabe3509aa707f,8.48,8,0.0,29.44,83.02000000000001
026d9b9c8e55b435f117496e6a885fba7bf76530a5aa6f8f61304f84f9a31dda09,8.48,8,0.875,11.69,93.52
0219c2f8818bd2124dcc41827b726fd486c13cdfb6edf4e1458194663fb07891c7,8.48,8,0.0,30.44,23.02
